Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
6/6/2014,1.651,6/6/2014,2014,6/6/2014,1.311,10/15/2014,1.841,9/18/2014
6/9/2014,1.681,6/6/2014,2015,1/2/2015,1.185,2/2/2015,1.799,12/30/2015
6/10/2014,1.706,6/6/2014,2016,1/4/2016,0.938,7/5/2016,2.068,12/15/2016
6/11/2014,1.696,6/6/2014,2017,1/3/2017,1.641,7/11/2014,2.251,12/22/2017
6/12/2014,1.66,6/6/2014,2018,1/2/2018,2.247,1/3/2018,3.09,11/8/2018
6/13/2014,1.696,6/6/2014,2019,1/2/2019,1.315,9/4/2019,2.618,2/23/2018
6/16/2014,1.7,6/6/2014,2020,1/2/2020,0.195,8/4/2020,1.671,8/25/2014
6/17/2014,1.753,6/6/2014,2021,1/4/2021,0.354,1/4/2021,1.344,11/24/2021
6/18/2014,1.712,6/6/2014,2022,1/3/2022,1.365,10/7/2015,4.448,10/20/2022
6/19/2014,1.687,6/6/2014,2023,1/3/2023,3.276,5/4/2023,4.961,10/19/2023
6/20/2014,1.7,6/6/2014,2024,1/2/2024,3.799,2/1/2024,4.723,4/30/2024
6/23/2014,1.704,6/6/2014,,0,,,,
6/24/2014,1.679,6/6/2014,,,,,,
6/25/2014,1.652,6/6/2014,,,,,,
6/26/2014,1.646,6/6/2014,,,,,,
6/27/2014,1.638,6/6/2014,,,,,,
6/30/2014,1.625,6/6/2014,,,,,,
7/1/2014,1.656,6/6/2014,,,,,,
7/2/2014,1.712,6/6/2014,,,,,,
7/3/2014,1.74,6/6/2014,,,,,,
7/8/2014,1.697,6/6/2014,,,,,,
7/9/2014,1.674,6/6/2014,,,,,,
7/10/2014,1.648,6/6/2014,,,,,,
7/11/2014,1.641,6/6/2014,,,,,,
7/14/2014,1.674,6/6/2014,,,,,,
7/15/2014,1.691,6/6/2014,,,,,,
7/16/2014,1.699,6/6/2014,,,,,,
7/17/2014,1.65,6/6/2014,,,,,,
