Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date,New.Year
6/6/14,4.7575,6/6/14,2014,6/6/14,4.1975,10/13/14,5.285,12/3/14,
6/9/14,4.7625,6/6/14,2015,1/2/15,4.785,6/19/14,8.4375,12/4/15,
6/10/14,4.7875,6/6/14,2016,1/4/16,6.305,2/8/16,29.33,12/27/16,
6/11/14,4.85,6/6/14,2017,1/3/17,23.872499,4/13/17,54.240002,11/24/17,
6/12/14,4.88,6/6/14,2018,1/2/18,31.77,12/24/18,72.339996,10/1/18,
6/13/14,4.885,6/6/14,2019,1/2/19,31.997499,1/3/19,59.842499,12/20/19,
6/16/14,4.87,6/6/14,2020,1/2/20,49.099998,3/16/20,145.619995,11/6/20,
6/17/14,4.9025,6/6/14,2021,1/4/21,115.932503,3/8/21,333.76001,11/29/21,
6/18/14,4.8975,6/6/14,2022,1/3/22,112.269997,10/14/22,301.209991,1/3/22,
6/19/14,4.785,6/6/14,2023,1/3/23,142.649994,1/5/23,504.089996,11/20/23,
6/20/14,4.7325,6/6/14,2024,1/2/24,475.690002,1/3/24,1224.400024,6/5/24,
6/23/14,4.6775,6/6/14,,,,,,,
6/24/14,4.605,6/6/14,,,,,,,
6/25/14,4.6525,6/6/14,,,,,,,
6/26/14,4.59,6/6/14,,,,,,,
6/27/14,4.595,6/6/14,,,,,,,
6/30/14,4.635,6/6/14,,,,,,,
7/1/14,4.6875,6/6/14,,,,,,,
7/2/14,4.67,6/6/14,,,,,,,
7/3/14,4.7125,6/6/14,,,,,,,
7/7/14,4.675,6/6/14,,,,,,,
7/8/14,4.6375,6/6/14,,,,,,,
7/9/14,4.7775,6/6/14,,,,,,,
7/10/14,4.7525,6/6/14,,,,,,,
7/11/14,4.7625,6/6/14,,,,,,,
7/14/14,4.8225,6/6/14,,,,,,,
7/15/14,4.8425,6/6/14,,,,,,,
7/16/14,4.8375,6/6/14,,,,,,,
7/17/14,4.825,6/6/14,,,,,,,
7/18/14,4.61,6/6/14,,,,,,,
7/21/14,4.6375,6/6/14,,,,,,,
7/22/14,4.6175,6/6/14,,,,,,,
7/23/14,4.52,6/6/14,,,,,,,
7/24/14,4.5275,6/6/14,,,,,,,
7/25/14,4.4475,6/6/14,,,,,,,
7/28/14,4.43,6/6/14,,,,,,,
7/29/14,4.445,6/6/14,,,,,,,
7/30/14,4.52,6/6/14,,,,,,,
7/31/14,4.375,6/6/14,,,,,,,
8/1/14,4.4225,6/6/14,,,,,,,
8/4/14,4.4125,6/6/14,,,,,,,
8/5/14,4.415,6/6/14,,,,,,,
8/6/14,4.41,6/6/14,,,,,,,
8/7/14,4.365,6/6/14,,,,,,,
8/8/14,4.75,6/6/14,,,,,,,
8/11/14,4.725,6/6/14,,,,,,,
8/12/14,4.725,6/6/14,,,,,,,
8/13/14,4.7525,6/6/14,,,,,,,
8/14/14,4.7,6/6/14,,,,,,,
8/15/14,4.76,6/6/14,,,,,,,
8/18/14,4.825,6/6/14,,,,,,,
8/19/14,4.8425,6/6/14,,,,,,,
8/20/14,4.8125,6/6/14,,,,,,,
8/21/14,4.7675,6/6/14,,,,,,,
8/22/14,4.77,6/6/14,,,,,,,
8/25/14,4.7775,6/6/14,,,,,,,
8/26/14,4.8625,6/6/14,,,,,,,
8/27/14,4.8075,6/6/14,,,,,,,
8/28/14,4.8475,6/6/14,,,,,,,
8/29/14,4.8625,6/6/14,,,,,,,
9/2/14,4.875,6/6/14,,,,,,,
9/3/14,4.92,6/6/14,,,,,,,
9/4/14,5.0075,6/6/14,,,,,,,
9/5/14,4.9925,6/6/14,,,,,,,
9/8/14,4.9475,6/6/14,,,,,,,
9/9/14,4.885,6/6/14,,,,,,,
9/10/14,4.9025,6/6/14,,,,,,,
9/11/14,4.8525,6/6/14,,,,,,,
9/12/14,4.78,6/6/14,,,,,,,
9/15/14,4.715,6/6/14,,,,,,,
9/16/14,4.785,6/6/14,,,,,,,
9/17/14,4.7875,6/6/14,,,,,,,
9/18/14,4.86,6/6/14,,,,,,,
9/19/14,4.77,6/6/14,,,,,,,
9/22/14,4.7225,6/6/14,,,,,,,
9/23/14,4.7025,6/6/14,,,,,,,
9/24/14,4.73,6/6/14,,,,,,,
9/25/14,4.6275,6/6/14,,,,,,,
9/26/14,4.6375,6/6/14,,,,,,,
9/29/14,4.63,6/6/14,,,,,,,
9/30/14,4.6125,6/6/14,,,,,,,
10/1/14,4.5675,6/6/14,,,,,,,
10/2/14,4.5475,6/6/14,,,,,,,
10/3/14,4.5575,6/6/14,,,,,,,
10/6/14,4.53,6/6/14,,,,,,,
10/7/14,4.4825,6/6/14,,,,,,,
10/8/14,4.565,6/6/14,,,,,,,
10/9/14,4.4775,6/6/14,,,,,,,
10/10/14,4.2125,6/6/14,,,,,,,
10/13/14,4.1975,6/6/14,,,,,,,
10/14/14,4.295,6/6/14,,,,,,,
10/15/14,4.36,6/6/14,,,,,,,
10/16/14,4.3625,6/6/14,,,,,,,
10/17/14,4.355,6/6/14,,,,,,,
10/20/14,4.3925,6/6/14,,,,,,,
10/21/14,4.58,6/6/14,,,,,,,
10/22/14,4.4725,6/6/14,,,,,,,
10/23/14,4.5725,6/6/14,,,,,,,
10/24/14,4.62,6/6/14,,,,,,,
10/27/14,4.6225,6/6/14,,,,,,,
10/28/14,4.7325,6/6/14,,,,,,,
10/29/14,4.7025,6/6/14,,,,,,,
10/30/14,4.6725,6/6/14,,,,,,,
10/31/14,4.885,6/6/14,,,,,,,
11/3/14,4.9675,6/6/14,,,,,,,
11/4/14,5.0325,6/6/14,,,,,,,
11/5/14,5.0325,6/6/14,,,,,,,
11/6/14,5.055,6/6/14,,,,,,,
11/7/14,4.9475,6/6/14,,,,,,,
11/10/14,5.005,6/6/14,,,,,,,
11/11/14,4.945,6/6/14,,,,,,,
11/12/14,4.9125,6/6/14,,,,,,,
11/13/14,4.8875,6/6/14,,,,,,,
11/14/14,4.9475,6/6/14,,,,,,,
11/17/14,4.925,6/6/14,,,,,,,
11/18/14,5.0425,6/6/14,,,,,,,
11/19/14,5.0025,6/6/14,,,,,,,
11/20/14,5.085,6/6/14,,,,,,,
11/21/14,5.1125,6/6/14,,,,,,,
11/24/14,5.145,6/6/14,,,,,,,
11/25/14,5.1425,6/6/14,,,,,,,
11/26/14,5.23,6/6/14,,,,,,,
11/28/14,5.2425,6/6/14,,,,,,,
12/1/14,5.145,6/6/14,,,,,,,
12/2/14,5.1525,6/6/14,,,,,,,
12/3/14,5.285,6/6/14,,,,,,,
12/4/14,5.2375,6/6/14,,,,,,,
12/5/14,5.2675,6/6/14,,,,,,,
12/8/14,5.2,6/6/14,,,,,,,
12/9/14,5.1825,6/6/14,,,,,,,
12/10/14,5.0675,6/6/14,,,,,,,
12/11/14,5.065,6/6/14,,,,,,,
12/12/14,4.9075,6/6/14,,,,,,,
12/15/14,4.8925,6/6/14,,,,,,,
12/16/14,4.8375,6/6/14,,,,,,,
12/17/14,5.035,6/6/14,,,,,,,
12/18/14,5.055,6/6/14,,,,,,,
12/19/14,5.105,6/6/14,,,,,,,
12/22/14,5.195,6/6/14,,,,,,,
12/23/14,5.1625,6/6/14,,,,,,,
12/24/14,5.1425,6/6/14,,,,,,,
12/26/14,5.1475,6/6/14,,,,,,,
12/29/14,5.14,6/6/14,,,,,,,
12/30/14,5.0925,6/6/14,,,,,,,
12/31/14,5.0125,6/6/14,,,,,,,
1/2/15,5.0325,1/2/15,,,,,,,
1/5/15,4.9475,1/2/15,,,,,,,
1/6/15,4.7975,1/2/15,,,,,,,
1/7/15,4.785,1/2/15,,,,,,,
1/8/15,4.965,1/2/15,,,,,,,
1/9/15,4.985,1/2/15,,,,,,,
1/12/15,4.9225,1/2/15,,,,,,,
1/13/15,4.915,1/2/15,,,,,,,
1/14/15,4.935,1/2/15,,,,,,,
1/15/15,4.9,1/2/15,,,,,,,
1/16/15,4.99,1/2/15,,,,,,,
1/20/15,5.005,1/2/15,,,,,,,
1/21/15,5.075,1/2/15,,,,,,,
1/22/15,5.1625,1/2/15,,,,,,,
1/23/15,5.1775,1/2/15,,,,,,,
1/26/15,5.155,1/2/15,,,,,,,
1/27/15,4.9075,1/2/15,,,,,,,
1/28/15,4.8275,1/2/15,,,,,,,
1/29/15,4.945,1/2/15,,,,,,,
1/30/15,4.8,1/2/15,,,,,,,
2/2/15,4.905,1/2/15,,,,,,,
2/3/15,5.0275,1/2/15,,,,,,,
2/4/15,5.04,1/2/15,,,,,,,
2/5/15,5.1225,1/2/15,,,,,,,
2/6/15,5.1,1/2/15,,,,,,,
2/9/15,5.095,1/2/15,,,,,,,
2/10/15,5.2375,1/2/15,,,,,,,
2/11/15,5.2025,1/2/15,,,,,,,
2/12/15,5.575,1/2/15,,,,,,,
2/13/15,5.5775,1/2/15,,,,,,,
2/17/15,5.595,1/2/15,,,,,,,
2/18/15,5.53,1/2/15,,,,,,,
2/19/15,5.545,1/2/15,,,,,,,
2/20/15,5.585,1/2/15,,,,,,,
2/23/15,5.54,1/2/15,,,,,,,
2/24/15,5.5775,1/2/15,,,,,,,
2/25/15,5.535,1/2/15,,,,,,,
2/26/15,5.55,1/2/15,,,,,,,
2/27/15,5.515,1/2/15,,,,,,,
3/2/15,5.65,1/2/15,,,,,,,
3/3/15,5.545,1/2/15,,,,,,,
3/4/15,5.6075,1/2/15,,,,,,,
3/5/15,5.715,1/2/15,,,,,,,
3/6/15,5.6375,1/2/15,,,,,,,
3/9/15,5.6525,1/2/15,,,,,,,
3/10/15,5.75,1/2/15,,,,,,,
3/11/15,5.72,1/2/15,,,,,,,
3/12/15,5.6675,1/2/15,,,,,,,
3/13/15,5.675,1/2/15,,,,,,,
3/16/15,5.7425,1/2/15,,,,,,,
3/17/15,5.8125,1/2/15,,,,,,,
3/18/15,5.7175,1/2/15,,,,,,,
3/19/15,5.805,1/2/15,,,,,,,
3/20/15,5.8675,1/2/15,,,,,,,
3/23/15,5.6775,1/2/15,,,,,,,
3/24/15,5.6,1/2/15,,,,,,,
3/25/15,5.26,1/2/15,,,,,,,
3/26/15,5.2425,1/2/15,,,,,,,
3/27/15,5.345,1/2/15,,,,,,,
3/30/15,5.3675,1/2/15,,,,,,,
3/31/15,5.2325,1/2/15,,,,,,,
4/1/15,5.2525,1/2/15,,,,,,,
4/2/15,5.265,1/2/15,,,,,,,
4/6/15,5.4175,1/2/15,,,,,,,
4/7/15,5.465,1/2/15,,,,,,,
4/8/15,5.505,1/2/15,,,,,,,
4/9/15,5.6325,1/2/15,,,,,,,
4/10/15,5.69,1/2/15,,,,,,,
4/13/15,5.6375,1/2/15,,,,,,,
4/14/15,5.59,1/2/15,,,,,,,
4/15/15,5.6575,1/2/15,,,,,,,
4/16/15,5.6225,1/2/15,,,,,,,
4/17/15,5.55,1/2/15,,,,,,,
4/20/15,5.5225,1/2/15,,,,,,,
4/21/15,5.515,1/2/15,,,,,,,
4/22/15,5.5775,1/2/15,,,,,,,
4/23/15,5.555,1/2/15,,,,,,,
4/24/15,5.5075,1/2/15,,,,,,,
4/27/15,5.55,1/2/15,,,,,,,
4/28/15,5.5775,1/2/15,,,,,,,
4/29/15,5.535,1/2/15,,,,,,,
4/30/15,5.55,1/2/15,,,,,,,
5/1/15,5.6875,1/2/15,,,,,,,
5/4/15,5.6525,1/2/15,,,,,,,
5/5/15,5.5075,1/2/15,,,,,,,
5/6/15,5.525,1/2/15,,,,,,,
5/7/15,5.6225,1/2/15,,,,,,,
5/8/15,5.2075,1/2/15,,,,,,,
5/11/15,5.1575,1/2/15,,,,,,,
5/12/15,5.2075,1/2/15,,,,,,,
5/13/15,5.2375,1/2/15,,,,,,,
5/14/15,5.3225,1/2/15,,,,,,,
5/15/15,5.325,1/2/15,,,,,,,
5/18/15,5.3175,1/2/15,,,,,,,
5/19/15,5.26,1/2/15,,,,,,,
5/20/15,5.26,1/2/15,,,,,,,
5/21/15,5.2225,1/2/15,,,,,,,
5/22/15,5.215,1/2/15,,,,,,,
5/26/15,5.1825,1/2/15,,,,,,,
5/27/15,5.46,1/2/15,,,,,,,
5/28/15,5.535,1/2/15,,,,,,,
5/29/15,5.5325,1/2/15,,,,,,,
6/1/15,5.595,1/2/15,,,,,,,
6/2/15,5.485,1/2/15,,,,,,,
6/3/15,5.425,1/2/15,,,,,,,
6/4/15,5.5225,1/2/15,,,,,,,
6/5/15,5.565,1/2/15,,,,,,,
6/8/15,5.4375,1/2/15,,,,,,,
6/9/15,5.465,1/2/15,,,,,,,
6/10/15,5.3675,1/2/15,,,,,,,
6/11/15,5.425,1/2/15,,,,,,,
6/12/15,5.2775,1/2/15,,,,,,,
6/15/15,5.2675,1/2/15,,,,,,,
6/16/15,5.3325,1/2/15,,,,,,,
6/17/15,5.395,1/2/15,,,,,,,
6/18/15,5.485,1/2/15,,,,,,,
6/19/15,5.4675,1/2/15,,,,,,,
6/22/15,5.445,1/2/15,,,,,,,
6/23/15,5.305,1/2/15,,,,,,,
6/24/15,5.2525,1/2/15,,,,,,,
6/25/15,5.2925,1/2/15,,,,,,,
6/26/15,5.185,1/2/15,,,,,,,
6/29/15,5.03,1/2/15,,,,,,,
6/30/15,5.0275,1/2/15,,,,,,,
7/1/15,5.1,1/2/15,,,,,,,
7/2/15,5.105,1/2/15,,,,,,,
7/6/15,5.0425,1/2/15,,,,,,,
7/7/15,4.9475,1/2/15,,,,,,,
7/8/15,4.9125,1/2/15,,,,,,,
7/9/15,4.8525,1/2/15,,,,,,,
7/10/15,4.9375,1/2/15,,,,,,,
7/13/15,4.97,1/2/15,,,,,,,
7/14/15,4.9725,1/2/15,,,,,,,
7/15/15,4.9375,1/2/15,,,,,,,
7/16/15,5.0475,1/2/15,,,,,,,
7/17/15,5.0175,1/2/15,,,,,,,
7/20/15,4.925,1/2/15,,,,,,,
7/21/15,4.9475,1/2/15,,,,,,,
7/22/15,4.8525,1/2/15,,,,,,,
7/23/15,4.9125,1/2/15,,,,,,,
7/24/15,4.855,1/2/15,,,,,,,
7/27/15,4.8275,1/2/15,,,,,,,
7/28/15,4.9325,1/2/15,,,,,,,
7/29/15,4.9925,1/2/15,,,,,,,
7/30/15,5.005,1/2/15,,,,,,,
7/31/15,4.9875,1/2/15,,,,,,,
8/3/15,5.0725,1/2/15,,,,,,,
8/4/15,5.0925,1/2/15,,,,,,,
8/5/15,5.145,1/2/15,,,,,,,
8/6/15,5.1125,1/2/15,,,,,,,
8/7/15,5.745,1/2/15,,,,,,,
8/10/15,5.945,1/2/15,,,,,,,
8/11/15,5.915,1/2/15,,,,,,,
8/12/15,5.93,1/2/15,,,,,,,
8/13/15,5.88,1/2/15,,,,,,,
8/14/15,5.885,1/2/15,,,,,,,
8/17/15,5.8475,1/2/15,,,,,,,
8/18/15,5.77,1/2/15,,,,,,,
8/19/15,5.7475,1/2/15,,,,,,,
8/20/15,5.54,1/2/15,,,,,,,
8/21/15,5.3675,1/2/15,,,,,,,
8/24/15,5.1775,1/2/15,,,,,,,
8/25/15,5.07,1/2/15,,,,,,,
8/26/15,5.4525,1/2/15,,,,,,,
8/27/15,5.6575,1/2/15,,,,,,,
8/28/15,5.6825,1/2/15,,,,,,,
8/31/15,5.62,1/2/15,,,,,,,
9/1/15,5.39,1/2/15,,,,,,,
9/2/15,5.5525,1/2/15,,,,,,,
9/3/15,5.5675,1/2/15,,,,,,,
9/4/15,5.4375,1/2/15,,,,,,,
9/8/15,5.67,1/2/15,,,,,,,
9/9/15,5.5575,1/2/15,,,,,,,
9/10/15,5.645,1/2/15,,,,,,,
9/11/15,5.6625,1/2/15,,,,,,,
9/14/15,5.6725,1/2/15,,,,,,,
9/15/15,5.735,1/2/15,,,,,,,
9/16/15,5.775,1/2/15,,,,,,,
9/17/15,5.8275,1/2/15,,,,,,,
9/18/15,5.8225,1/2/15,,,,,,,
9/21/15,5.8825,1/2/15,,,,,,,
9/22/15,5.7225,1/2/15,,,,,,,
9/23/15,5.75,1/2/15,,,,,,,
9/24/15,5.86,1/2/15,,,,,,,
9/25/15,5.9025,1/2/15,,,,,,,
9/28/15,5.825,1/2/15,,,,,,,
9/29/15,5.9275,1/2/15,,,,,,,
9/30/15,6.1625,1/2/15,,,,,,,
10/1/15,6.0425,1/2/15,,,,,,,
