Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
6/6/2014,4321.399902,6/6/2014,2014,6/6/2014,4213.660156,10/13/2014,4806.910156,12/29/2014
6/9/2014,4336.240234,6/6/2014,2015,1/2/2015,4506.490234,8/25/2015,5218.859863,7/20/2015
6/10/2014,4338,6/6/2014,2016,1/4/2016,4266.839844,2/11/2016,5487.439941,12/27/2016
6/11/2014,4331.930176,6/6/2014,2017,1/3/2017,5429.080078,1/3/2017,6994.759766,12/18/2017
6/12/2014,4297.629883,6/6/2014,2018,1/2/2018,6192.919922,12/24/2018,8109.689941,8/29/2018
6/13/2014,4310.649902,6/6/2014,2019,1/2/2019,6463.5,1/3/2019,9022.389648,12/26/2019
6/16/2014,4321.100098,6/6/2014,2020,1/2/2020,6860.669922,3/23/2020,12899.41992,12/28/2020
6/17/2014,4337.22998,6/6/2014,2021,1/4/2021,12609.16016,3/8/2021,16057.44043,11/19/2021
6/18/2014,4362.839844,6/6/2014,2022,1/3/2022,10213.29004,12/28/2022,15832.79981,1/3/2022
6/19/2014,4359.330078,6/6/2014,2023,1/3/2023,10305.24023,1/5/2023,15099.17969,12/27/2023
6/20/2014,4368.040039,6/6/2014,2024,1/2/2024,14510.29981,1/4/2024,17187.90039,6/5/2024
6/23/2014,4368.680176,6/6/2014,,,,,,
6/24/2014,4350.350098,6/6/2014,,,,,,
6/25/2014,4379.759766,6/6/2014,,,,,,
6/26/2014,4379.049805,6/6/2014,,,,,,
6/27/2014,4397.930176,6/6/2014,,,,,,
6/30/2014,4408.180176,6/6/2014,,,,,,
7/1/2014,4458.649902,6/6/2014,,,,,,
7/2/2014,4457.72998,6/6/2014,,,,,,
7/3/2014,4485.930176,6/6/2014,,,,,,
7/7/2014,4451.529785,6/6/2014,,,,,,
7/8/2014,4391.459961,6/6/2014,,,,,,
7/9/2014,4419.029785,6/6/2014,,,,,,
7/10/2014,4396.200195,6/6/2014,,,,,,
7/11/2014,4415.490234,6/6/2014,,,,,,
7/14/2014,4440.419922,6/6/2014,,,,,,
7/15/2014,4416.390137,6/6/2014,,,,,,
7/16/2014,4425.970215,6/6/2014,,,,,,
7/17/2014,4363.450195,6/6/2014,,,,,,
7/18/2014,4432.149902,6/6/2014,,,,,,
7/21/2014,4424.700195,6/6/2014,,,,,,
7/22/2014,4456.02002,6/6/2014,,,,,,
7/23/2014,4473.700195,6/6/2014,,,,,,
7/24/2014,4472.109863,6/6/2014,,,,,,
7/25/2014,4449.560059,6/6/2014,,,,,,
7/28/2014,4444.910156,6/6/2014,,,,,,
7/29/2014,4442.700195,6/6/2014,,,,,,
7/30/2014,4462.899902,6/6/2014,,,,,,
7/31/2014,4369.77002,6/6/2014,,,,,,
8/1/2014,4352.640137,6/6/2014,,,,,,
8/4/2014,4383.890137,6/6/2014,,,,,,
8/5/2014,4352.839844,6/6/2014,,,,,,
8/6/2014,4355.049805,6/6/2014,,,,,,
8/7/2014,4334.970215,6/6/2014,,,,,,
8/8/2014,4370.899902,6/6/2014,,,,,,
8/11/2014,4401.330078,6/6/2014,,,,,,
8/12/2014,4389.25,6/6/2014,,,,,,
8/13/2014,4434.129883,6/6/2014,,,,,,
8/14/2014,4453,6/6/2014,,,,,,
8/15/2014,4464.930176,6/6/2014,,,,,,
8/18/2014,4508.310059,6/6/2014,,,,,,
8/19/2014,4527.509766,6/6/2014,,,,,,
8/20/2014,4526.47998,6/6/2014,,,,,,
8/21/2014,4532.100098,6/6/2014,,,,,,
8/22/2014,4538.549805,6/6/2014,,,,,,
8/25/2014,4557.350098,6/6/2014,,,,,,
8/26/2014,4570.640137,6/6/2014,,,,,,
8/27/2014,4569.620117,6/6/2014,,,,,,
8/28/2014,4557.700195,6/6/2014,,,,,,
8/29/2014,4580.27002,6/6/2014,,,,,,
9/2/2014,4598.189941,6/6/2014,,,,,,
9/3/2014,4572.560059,6/6/2014,,,,,,
9/4/2014,4562.290039,6/6/2014,,,,,,
9/5/2014,4582.899902,6/6/2014,,,,,,
9/8/2014,4592.290039,6/6/2014,,,,,,
9/9/2014,4552.290039,6/6/2014,,,,,,
9/10/2014,4586.52002,6/6/2014,,,,,,
9/11/2014,4591.810059,6/6/2014,,,,,,
9/12/2014,4567.600098,6/6/2014,,,,,,
9/15/2014,4518.899902,6/6/2014,,,,,,
9/16/2014,4552.759766,6/6/2014,,,,,,
9/17/2014,4562.189941,6/6/2014,,,,,,
9/18/2014,4593.430176,6/6/2014,,,,,,
9/19/2014,4579.790039,6/6/2014,,,,,,
9/22/2014,4527.689941,6/6/2014,,,,,,
9/23/2014,4508.689941,6/6/2014,,,,,,
9/24/2014,4555.220215,6/6/2014,,,,,,
9/25/2014,4466.75,6/6/2014,,,,,,
9/26/2014,4512.189941,6/6/2014,,,,,,
9/29/2014,4505.850098,6/6/2014,,,,,,
9/30/2014,4493.390137,6/6/2014,,,,,,
10/1/2014,4422.089844,6/6/2014,,,,,,
10/2/2014,4430.200195,6/6/2014,,,,,,
10/3/2014,4475.620117,6/6/2014,,,,,,
10/6/2014,4454.799805,6/6/2014,,,,,,
10/7/2014,4385.200195,6/6/2014,,,,,,
10/8/2014,4468.589844,6/6/2014,,,,,,
10/9/2014,4378.339844,6/6/2014,,,,,,
10/10/2014,4276.240234,6/6/2014,,,,,,
10/13/2014,4213.660156,6/6/2014,,,,,,
10/14/2014,4227.169922,6/6/2014,,,,,,
10/15/2014,4215.319824,6/6/2014,,,,,,
10/16/2014,4217.390137,6/6/2014,,,,,,
10/17/2014,4258.439941,6/6/2014,,,,,,
10/20/2014,4316.069824,6/6/2014,,,,,,
10/21/2014,4419.47998,6/6/2014,,,,,,
10/22/2014,4382.850098,6/6/2014,,,,,,
10/23/2014,4452.790039,6/6/2014,,,,,,
10/24/2014,4483.720215,6/6/2014,,,,,,
10/27/2014,4485.930176,6/6/2014,,,,,,
10/28/2014,4564.290039,6/6/2014,,,,,,
10/29/2014,4549.22998,6/6/2014,,,,,,
10/30/2014,4566.140137,6/6/2014,,,,,,
10/31/2014,4630.740234,6/6/2014,,,,,,
11/3/2014,4638.910156,6/6/2014,,,,,,
11/4/2014,4623.640137,6/6/2014,,,,,,
11/5/2014,4620.720215,6/6/2014,,,,,,
11/6/2014,4638.470215,6/6/2014,,,,,,
11/7/2014,4632.529785,6/6/2014,,,,,,
11/10/2014,4651.620117,6/6/2014,,,,,,
11/11/2014,4660.560059,6/6/2014,,,,,,
11/12/2014,4675.140137,6/6/2014,,,,,,
11/13/2014,4680.140137,6/6/2014,,,,,,
11/14/2014,4688.540039,6/6/2014,,,,,,
11/17/2014,4671,6/6/2014,,,,,,
11/18/2014,4702.439941,6/6/2014,,,,,,
11/19/2014,4675.709961,6/6/2014,,,,,,
11/20/2014,4701.870117,6/6/2014,,,,,,
11/21/2014,4712.970215,6/6/2014,,,,,,
11/24/2014,4754.890137,6/6/2014,,,,,,
11/25/2014,4758.25,6/6/2014,,,,,,
11/26/2014,4787.319824,6/6/2014,,,,,,
11/28/2014,4791.629883,6/6/2014,,,,,,
12/1/2014,4727.350098,6/6/2014,,,,,,
12/2/2014,4755.810059,6/6/2014,,,,,,
12/3/2014,4774.470215,6/6/2014,,,,,,
12/4/2014,4769.439941,6/6/2014,,,,,,
12/5/2014,4780.759766,6/6/2014,,,,,,
12/8/2014,4740.689941,6/6/2014,,,,,,
12/9/2014,4766.470215,6/6/2014,,,,,,
12/10/2014,4684.02002,6/6/2014,,,,,,
12/11/2014,4708.160156,6/6/2014,,,,,,
12/12/2014,4653.600098,6/6/2014,,,,,,
12/15/2014,4605.160156,6/6/2014,,,,,,
12/16/2014,4547.830078,6/6/2014,,,,,,
12/17/2014,4644.310059,6/6/2014,,,,,,
12/18/2014,4748.399902,6/6/2014,,,,,,
12/19/2014,4765.379883,6/6/2014,,,,,,
12/22/2014,4781.419922,6/6/2014,,,,,,
12/23/2014,4765.419922,6/6/2014,,,,,,
12/24/2014,4773.470215,6/6/2014,,,,,,
12/26/2014,4806.859863,6/6/2014,,,,,,
12/29/2014,4806.910156,6/6/2014,,,,,,
12/30/2014,4777.439941,6/6/2014,,,,,,
12/31/2014,4736.049805,6/6/2014,,,,,,
1/2/2015,4726.810059,1/2/2015,,,,,,
1/5/2015,4652.569824,1/2/2015,,,,,,
