Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
6/6/2014,13.878,6/6/2014,2014,6/6/2014,13.187333,12/16/2014,19.069332,9/4/2014
6/9/2014,13.687333,6/6/2014,2015,1/2/2015,12.333333,3/27/2015,18.817333,7/20/2015
6/10/2014,13.486667,6/6/2014,2016,1/4/2016,9.578,2/10/2016,17.694668,4/6/2016
6/11/2014,13.631333,6/6/2014,2017,1/3/2017,14.466,1/3/2017,25.666668,9/18/2017
6/12/2014,13.568,6/6/2014,2018,1/2/2018,16.704,10/8/2018,25.304667,8/7/2018
6/13/2014,13.761333,6/6/2014,2019,1/2/2019,11.931333,6/3/2019,28.729334,12/26/2019
6/16/2014,14.974,6/6/2014,2020,1/2/2020,24.081333,3/18/2020,235.223328,12/31/2020
6/17/2014,15.444667,6/6/2014,2021,1/4/2021,187.666672,3/8/2021,409.970001,11/4/2021
6/18/2014,15.141333,6/6/2014,2022,1/3/2022,109.099998,12/27/2022,399.926666,1/3/2022
6/19/2014,15.186,6/6/2014,2023,1/3/2023,108.099998,1/3/2023,293.339996,1/8/2021
6/20/2014,15.306,6/6/2014,2024,1/2/2024,142.050003,4/22/2024,248.419998,1/2/2024
6/23/2014,15.814667,6/6/2014,,,,,,
6/24/2014,15.5,6/6/2014,,,,,,
6/25/2014,15.792667,6/6/2014,,,,,,
6/26/2014,15.706667,6/6/2014,,,,,,
6/27/2014,15.937333,6/6/2014,,,,,,
6/30/2014,16.004,6/6/2014,,,,,,
7/1/2014,15.981333,6/6/2014,,,,,,
7/2/2014,15.295333,6/6/2014,,,,,,
7/3/2014,15.283333,6/6/2014,,,,,,
7/7/2014,14.844,6/6/2014,,,,,,
7/8/2014,14.604667,6/6/2014,,,,,,
7/9/2014,14.870667,6/6/2014,,,,,,
7/10/2014,14.630667,6/6/2014,,,,,,
7/11/2014,14.542,6/6/2014,,,,,,
7/14/2014,15.113333,6/6/2014,,,,,,
7/15/2014,14.638667,6/6/2014,,,,,,
7/16/2014,14.477333,6/6/2014,,,,,,
7/17/2014,14.36,6/6/2014,,,,,,
7/18/2014,14.668,6/6/2014,,,,,,
7/21/2014,14.702667,6/6/2014,,,,,,
7/22/2014,14.638667,6/6/2014,,,,,,
7/23/2014,14.832667,6/6/2014,,,,,,
7/24/2014,14.902667,6/6/2014,,,,,,
7/25/2014,14.904667,6/6/2014,,,,,,
7/28/2014,14.988,6/6/2014,,,,,,
7/29/2014,15.000667,6/6/2014,,,,,,
7/30/2014,15.261333,6/6/2014,,,,,,
7/31/2014,14.886667,6/6/2014,,,,,,
8/1/2014,15.551333,6/6/2014,,,,,,
8/4/2014,15.901333,6/6/2014,,,,,,
8/5/2014,15.899333,6/6/2014,,,,,,
8/6/2014,16.595333,6/6/2014,,,,,,
8/7/2014,16.826,6/6/2014,,,,,,
8/8/2014,16.542,6/6/2014,,,,,,
8/11/2014,17.288,6/6/2014,,,,,,
8/12/2014,17.330667,6/6/2014,,,,,,
8/13/2014,17.354,6/6/2014,,,,,,
8/14/2014,17.425333,6/6/2014,,,,,,
8/15/2014,17.467333,6/6/2014,,,,,,
8/18/2014,17.329332,6/6/2014,,,,,,
8/19/2014,17.117332,6/6/2014,,,,,,
8/20/2014,17.047333,6/6/2014,,,,,,
8/21/2014,16.955999,6/6/2014,,,,,,
8/22/2014,17.118668,6/6/2014,,,,,,
8/25/2014,17.503332,6/6/2014,,,,,,
8/26/2014,17.449333,6/6/2014,,,,,,
8/27/2014,17.549999,6/6/2014,,,,,,
8/28/2014,17.590668,6/6/2014,,,,,,
8/29/2014,17.98,6/6/2014,,,,,,
9/2/2014,18.941334,6/6/2014,,,,,,
9/3/2014,18.746,6/6/2014,,,,,,
9/4/2014,19.069332,6/6/2014,,,,,,
9/5/2014,18.492666,6/6/2014,,,,,,
9/8/2014,18.807333,6/6/2014,,,,,,
9/9/2014,18.565332,6/6/2014,,,,,,
9/10/2014,18.74,6/6/2014,,,,,,
9/11/2014,18.687332,6/6/2014,,,,,,
9/12/2014,18.613333,6/6/2014,,,,,,
9/15/2014,16.924,6/6/2014,,,,,,
9/16/2014,17.382668,6/6/2014,,,,,,
9/17/2014,17.425333,6/6/2014,,,,,,
9/18/2014,17.587999,6/6/2014,,,,,,
9/19/2014,17.288,6/6/2014,,,,,,
9/22/2014,16.668667,6/6/2014,,,,,,
9/23/2014,16.694,6/6/2014,,,,,,
